Sample count: 
0, 1
1449,35

Scores:
KMeans
Jaccard Score,Homogeneity Score,Rand Score
0.177,0.210,0.541,
0.281,0.150,0.500,
0.119,0.176,0.639,
0.411,0.276,0.618,
0.272,0.013,0.501,
MeanShift
Jaccard Score,Homogeneity Score,Rand Score
0.116,0.011,0.860,
0.191,0.120,0.916,
0.186,0.100,0.873,
0.155,0.010,0.867,
0.116,0.067,0.866,

Average
KMeans
Jaccard Score,Homogeneity Score,Rand Score
0.252,0.165,0.560,
MeanShift
Jaccard Score,Homogeneity Score,Rand Score
0.153,0.062,0.876,

Standard deviation
KMeans
Jaccard Score,Homogeneity Score,Rand Score
0.100,0.087,0.058,
MeanShift
Jaccard Score,Homogeneity Score,Rand Score
0.033,0.045,0.020,

KMeans and Meanshift Comparison

Jaccard score
t-statistic, p-value
1.850,0.138
Better, Significant
Kmeans,False

Homogeneity score
t-statistic, p-value
1.797,0.147
Better, Significant
Kmeans,False

Rand Score
t-statistic, p-value
-9.193,0.001
Better, Significant
MeanShift,True

Samples marked as orphaned by Meanshift
0

Scores for OPTICS and DBSCAN
DBSCAN
Jaccard Score,Homogeneity Score,Rand Score
0.319,0.004,0.917,
OPTICS
Jaccard Score,Homogeneity Score,Rand Score
0.000,0.045,0.764,

OPTICS and DBSCAN noisy samples(in %)
DBSCAN
0.000
OPTICS
89.151
